docno	tokens
FT943-13052	ft 21 jul 94 belfast airport sold staff belfast correspondent paul cheeseright belfast international airport sold 300 management staff government announced yesterday news surprised many observers felt buy bid least likely succeed management employee buy team defeated three rival bidders shortlist bid pounds 32 75m together company cash reserves pounds 15 15m boost treasury coffers pounds 47 9m airport undergone pounds 25m development programme past five years boasts best regional airport facilities uk unsuccessful contenders included airports europe group led mr paul mcwilliams chairman ulster local enterprise development unit whose partners included amsterdam schiphol airport others high profile group led mr john mcguckian chairman industrial development board backed tbf thompson northern bank ulster investment bank whose bid supported city financial institutions mr tim smith ulster economy minister said government criteria price efficiency competition well involvement local interests met successfully winning bid completion sell means northern ireland two main airports private hands belfast harbour airport near city centre owned shorts bombardier canadian transportation group airports involved heavy competition domestic routes rivalry likely intensify birmingham international airport fifth largest uk yesterday unveiled expansion programme cost pounds 400m next 10 years involve private sector taking majority interest ownership paul cheeseright writes airport local authority owners councils birmingham coventry dudley sandwell solihull walsall wolverhampton prepared give least 51 per cent equity attract private capital said mr fred hunt chairman airport company private sector control give airport greater financial flexibility borrowing present subject government constraints
FT943-13053	ft 21 jul 94 great day south africa welcomed back michael mayne left dean westminster watches south africa archbishop desmond tutu dancing ceremony westminster abbey yesterday welcome country back commonwealth archbishop hailed great day
FT943-13054	ft 21 jul 94 british library project shambles john willman public policy editor construction new british library central london degenerated shambles committee mps says report project published yesterday commons national heritage committee says 16 years building started one idea building completed open much cost committee calls public inquiry project establish whether maladministration incompetence design construction earlier month mr peter brooke heritage secretary told committee treasury held contractors responsible delays cost overruns said cost library would exceed pounds 450m ceiling imposed 1990 treasury agreed fund extra spending convinced extra money could recovered contractors whose mistakes planning installing equipment contributed spiralling cost report describes building designed mr colin st john wilson edifice resembles babylonian ziggurat seen fun fair distorting mirror report adds new building interior best clinically utilitarian worst actively unattractive committee recommends existing round reading room british museum retained british library use also says land north site new library near st pancras station retained provide space expansion report says building new opera house glyndebourne showed attractive buildings could delivered time budget national heritage committee fifth report british library hmso pounds 11
FT943-13055	ft 21 jul 94 move cut building trade gap andrew taylor construction correspondent taskforce reduce britain pounds 1 44bn trade deficit building materials launched yesterday country biggest contractors property developers consultants initiative supported department environment seconded senior civil servant mr malcolm dodds director new construction procurement group aim work closely building material component producers increase competitiveness uk construction products domestic export markets members include chairmen leading contractors amec bovis john laing tarmac taylor woodrow well senior directors property developers mepc land securities stanhope properties greycoat property developers include industry biggest critics say turned overseas suppliers british companies produce products want lack ability supply adequate quality mr nigel thompson chairman group director consultants ove arup said one horror story large concrete cladding panels made kentucky hauled halfway across united states sailed across atlantic transported across uk fixed building stevenage group intends identify products insufficient choice domestic manufacturers members work suppliers help develop product services offer leading producers asked join group initial studies latest series joint initiatives environment department industry improve competitiveness independent review jointly financed department industry week recommended wide ranging measures including legislation reduce conflict improve management practices sector aim cut uk construction costs 30 per cent end century
FT943-13056	ft 21 jul 94 effect tolls severn revealed roland adburgham wales west correspondent high tolls severn bridge england wales causing 1 500 vehicles day divert routes highways agency report found study set investigate complaints greatly increased truck traffic local routes gloucestershire wales one way toll pounds 10 10 heavy goods vehicle revenue bridge paying construction laing gtm second severn crossing due open 1996 report claims tolls significant factor increasing traffic routes factors congestion play bigger part says problem eased second bridge opens report showed 2 700 vehicles day might expected travelling west gloucestershire allowing traffic growth said mr robert key minister roads traffic said 1 500 positively identified avoiding bridge tolls argued extra traffic fairly evenly spread m50 motorway main diversion routes road haulage association called bigger discounts regular users bridge rejected view tolls significant factor
FT943-13057	ft 21 jul 94 west leads regions financial services roland adburgham wales west correspondent bristol west england larger financial services industry uk regional centre coopers lybrand accountancy firm said yesterday survey estimates industry region employs 75 000 people including support services lawyers accountants compares recent estimates 35 000 40 000 people main regional centres based birmingham edinburgh leeds manchester also says findings contrast city perception confirmed telephone survey 12 financial services organisations london bristol west region ranked fifth west england demonstrably largest influential financial base uk outside london report says report financial services west prepared western development partnership regeneration agency says 55 000 employed industry region based immediate bristol area rest surrounding counties avon gloucestershire wiltshire somerset insurance industry leading employer accounting 51 per cent workforce coopers lybrand survey covered 90 organisations including region top 20 companies sector report states survey dispelled popular image modern financial services workforce commonly believed constitute far female male staff part time labour norm west male staff constitute 45 per cent workforce nine full time workers every one part time report also says respondents took bullish view employment prospects businesses financial services west western development partnership 100 victoria victoria street bristol bs1 6hz pounds 20
FT943-13058	ft 21 jul 94 british steel increase strip plate prices andrew baxter british steel raising prices strip plate products september may raise beginning next year past days british steel told customers prices strip products used automotive domestic appliance industries rise pounds 10 pounds 15 tonne september 1 equivalent price rise 3 per cent 6 per cent plate product prices rise pounds 10 pounds 20 tonne depending grade september 3 pounds 20 increase would equivalent nearly 10 per cent strip products made british steel south wales plants steel plates rolled scunthorpe humberside scotland used heavy engineering industries shipbuilding series price rises british steel last year caused controversy among steel users complained squeezed suppliers customers refused pay british steel consistently argued rises necessary get adequate return investment said week prices still 1990 levels strip plate products latest increase strip products fifth since april last year plates first since middle last year british steel said increase plate prices reflected strength recovery international plate market sectors including shipbuilding also european wide shortage steel slabs plate made
FT943-13059	ft 21 jul 94 eu laws threaten london banking john gapper banking editor london position international banking centre could undermined protectionist european union legislation adoption common banking supervisory standards around world according research published yesterday study london position compared financial centres new york frankfurt concludes could damaged increased regulation underwriting trading securities financial derivatives study professor harold rose london business school published together study growth international banking part city research project sponsored corporation london prof rose says london share cross border bank lending fell 18 per cent mid 1980s less 14 per cent today much higher world total largely due rise importance asian centres including tokyo however argues chief competitive threats london banking centre liberalisation markets abroad changes supervision weakened london previous advantage seen lightly regulated prof rose argues london position leading foreign exchange centre likely reinforced european monetary union emu losses trading among european currencies would offset european currency unit trading however says emu could lead business switching london frankfurt second study professor richard brealey mr evi kaplanis london business school argues post war growth international banking depended largely catch effect 1960s 1970s prof brealey said yesterday important issue less battle megalithic financial centres bigger share banking question whether rapid post war expansion would resume said relatively pessimistic achieving 20 per cent real growth international assets banks achieved 1960 1985 city research project subject reports xi xii xiii public relations office corporation london po box 270 guildhall london ec2p 2ej free
FT943-13060	ft 21 jul 94 power workers turn 2 6 electricity workers national grid company oversees electricity transmission lines voted majority 14 one reject company 2 6 per cent pay offer ballot unions represent 4 500 electricity workers asked members whether accepted unions recommendation reject offer
FT943-13061	ft 21 jul 94 british coal offers last closed pit british coal yesterday completed programme offering closed collieries private sector agreed terms coal investments mining company resumption operations silverdale colliery staffordshire 28 closed pits made available last 16 months leases licences granted nine 19 closed
FT943-13062	ft 21 jul 94 renewable energy promise renewable energy forms offer long term promise permanent solution energy problems world energy council says today renewables include solar wind wave power must take account environmental impacts avoid unsound technology economics group says estimates renewables account 4 per cent world energy 2020 present policies pursued ecological policies adopted renewables could contribute 12 per cent date
FT943-13063	ft 21 jul 94 mps back wind farms wales roland adburgham wind farms allowed wales commons welsh affairs committee said yesterday roland adburgham writes committee report says within framework robust appropriate locally accountable planning system see objection continuing development wind farms wales subject environmental acceptability committee support comes time increasing opposition turbines grounds visual intrusion noise lack economic justification mps stress believe concerns visual impact deep seated firmly held objections development wind energy strongest presumption turbines national parks areas outstanding natural beauty report adds whether wind turbines become accepted crucially depend sensitivity sited seen genuine contribution clean renewable economically viable electricity generation rather evidence greed developers generous subsidy mps criticise fact seven wind farms built wales requirement environmental impact assessments
FT943-13064	ft 21 jul 94 union seeks shareholder revolt directors pay richard donkin labour staff biggest union british steel organising shareholder revolt among members large boardroom salary increases including pounds 109 000 bonus paid mr brian moffat company chairman iron steel trades confederation asking members register concern voting appointment sir nicholas goodison one six non executive directors seeking election annual general meeting next week agreed pay rises executive directors mr moffat received 20 per cent increase base salary 1993 94 rose pounds 321 630 pounds 386 960 additional performance bonus took total annual pay almost pounds 500 000 time basic pay british steel employees said union risen 2 per cent 3 per cent pounds 6 pounds 9 week mr keith brookman union general secretary accused british steel directors national disease afflicting british boardrooms pure financial greed added rises galling distasteful 21 000 22 000 union members shares company still represents 5 per cent total shareholding istc claims first union organised gesture british steel said directors bonuses linked profits unlike employees mr moffat increase basic pay reflected fact two jobs chairman chief executive
FT943-13065	ft 21 jul 94 labour leaders face fight renationalisation kevin brown political correspondent labour modernising leadership faces battle year party conference union constituency delegates demanding renationalisation large parts economy list resolutions october conference blackpool released yesterday shows substantial support renationalisation gas water electricity industries many motions economy also call renationalisation railways basic industries steelmaking coal mining shipbuilding post office government wants privatise also significant support literal interpretation labour long standing commitment public control commanding heights economy several motions urge conference instruct labour leadership propose nationalisation least one top company financial manufacturing sector depth support return old style nationalisation concern labour dominant modernising tendency boosted today almost certain election mr tony blair party leader 50 per cent 60 per cent vote also concern mr john prescott traditionalist shadow employment secretary expected win narrow victory mrs margaret beckett leftwing interim leader deputy leader job mr prescott largely supported mr blair mr gordon brown modernising shadow chancellor efforts prevent commitments renationalisation exception british rail instead modernisers promised stronger regulation monopolies would forced place greater emphasis consumers reinvestment less dividends executive salaries renationalisation remained potent totem left including mrs beckett promised leadership campaign consider taking water back public ownership however labour continuing debate nationalisation regarded public relations gift conservative officials believe policy deeply unpopular voters modernisers face battle attempts update party social security policies mechanism commission social justice set john smith late labour leader chaired sir gordon borrie
FT943-13066	ft 21 jul 94 major reshuffle many mps expected losers james blitz little surprise westminster yesterday four names struck prime minister cabinet list anything many tory mps expecting mr john patten long tipped return back benches unhappy sometimes disastrous spell education secretary last two years 49 year old minister coiffured hair natty line shoes presided sweeping u turns many aspects government education policy also worse relations union leaders cabinet minister compulsory national curriculum tests schools abandoned government proposals reform student unions disintegrated hands tory rebels lords flow schools opting local education authority control keystone government 1988 education reform act slowed trickle anger dismissal came terse resignation letter wrote dear prime minister met last night explained longer wished remain secretary state education writing say glad serve majesty government best wishes future ever john mr john macgregor performance transport secretary mixed indications yesterday leaving post request expected take job city mr macgregor pushed railway privatisation bill parliament face intense opposition government well set proceed sell british rail spite public hostility forced cut road building programme face green lobby department environment strong following back benches criticised tory mps un inspiring performance mr peter brooke always looked vulnerable national heritage secretary acquired job extrovert mr david mellor forced resign mr brooke contrast criticised lacklustre leadership introduced national lottery dogged speculation government would press ahead privacy bill heavily blamed recent fiasco day celebrations lord wakeham departing leader lords came job reputation powerful behind scenes political operator understood told mr major recent days entirely disposal although little doubt wanted stay post however blamed succession embarrassing defeats government upper house criminal justice bill police magistrates bill like mr macgregor strong speculation take city job brooke bows page 19
FT943-13067	ft 21 jul 94 major reshuffle portillo shift sinister omen says labour kevin brown political correspondent labour yesterday putting brave face government reshuffle derided party leaders largely cosmetic exercise labour officials said prime minister failure sack mr kenneth clarke chancellor mr michael howard home secretary would fatally undermine hopes government could make fresh start people notice difference senior official said john major promoted new faces give us new phrases changes policy real difference promotion michael portillo employment department significant sinister move right area labour strategists relaxed promotion articulate tough minded trio mr jonathan aitken dr brian mawhinney mr stephen dorrell accomplished parliamentary performers however reshuffle increases likelihood wide ranging shake opposition front bench mps return westminster october summer recess mr tony blair almost certainly crowned labour leader today succession john smith delay reshuffle autumn allow time fresh elections shadow cabinet likely casualty mrs ann taylor shadow education secretary thought many labour mps performed poorly even mr john patten sacked mr major yesterday less certainty potential changes although mrs margaret beckett interim party leader regarded strong candidate replace mr blair shadow home secretary fails win either leadership post
FT943-13068	ft 21 jul 94 major reshuffle victims spared media gauntlet david owen go compassionate reshuffle cameras clustered outside mr major front door early yesterday morning interested course quick confirmation rising stars mainly wanted see blood destined disappointed break convention knife already wielded 12 hours earlier dropped cabinet told discreetly prime minister number 10 tuesday evening well publicised cocktail party thoughtful touch spared messrs patten brooke macgregor wakeham unpleasant task running raucous media gauntlet within minutes informed fate first clue public executions came word began circulating scrum outside downing street government car collected mr patten ministerial red boxes without picking education secretary time ritual reshuffle day comings goings number ten already started mrs gillian shephard appearing first 9am press gang initial confusion past years common victims reshuffles arrive early mrs shephard tipped promotion reported press association confusion minutes later mr douglas hurd foreign secretary came view instant experienced commentators momentarily abandoned back envelope reshuffle predictions thought early retirement universally forecast none big three positions treasury foreign office home office would change hands mr hurd teasing within seconds strolled past waiting crowd disappeared safely foreign office gleam eye plain sailing mr major chosen arrived irregular intervals best look composed prize longest stay went mr jeremy hanley new party chairman followed mrs shephard stayed cup coffee mr christopher meyer prime minister press secretary dr brian mawhinney another cabinet newcomer departed 11 33 precisely show
FT943-13069	ft 21 jul 94 major reshuffle new cabinet new cabinet prime minister john major leader commons tony newton leader lords lord privy seal viscount cranborne lord chancellor lord mackay chancellor exchequer kenneth clarke home secretary michael howard foreign commonwealth secretary douglas hurd trade industry secretary michael heseltine chancellor duchy lancaster david hunt education secretary gillian shephard defence secretary malcolm rifkind scottish secretary ian lang welsh secretary john redwood health secretary virginia bottomley social security secretary peter lilley northern ireland secretary sir patrick mayhew agriculture minister william waldegrave transport secretary brian mawhinney employment secretary michael portillo environment secretary john gummer national heritage secretary stephen dorrell chief secretary treasury jonathan aitken non portfolio minister party chairman jeremy hanley government changes leaving cabinet lord wakeham lord privy seal john macgregor transport secretary peter brooke national heritage secretary john patten education secretary minister state appointments roger freeman nicholas soames defence baroness blatch michael forsyth home office eric forth education ann widdecombe employment william hague lord mackay ardbrecknish social security viscount ullswater environment earl ferrers trade industry john watts transport david davis foreign office gerald malone health treasury appointments sir george young appointed financial secretary treasury david heathcoat amory made paymaster general anthony nelson remains economic secretary treasury promoted minister state resignations tim sainsbury trade minister sir wyn roberts welsh minister peter lloyd home office minister nicholas scott minister disabled sir john cope paymaster general party appointments john maples michael dobbs become deputy party chairmen
FT943-13070	ft 21 jul 94 major reshuffle aitken brings splash colour kevin brown mr jonathan aitken new chief secretary treasury provide much needed splash colour grey ranks mr john major cabinet ministers campaigned decriminalisation cannabis stood trial old bailey insulted baroness thatcher print mr aitken knack making headlines profile maverick outsider also authentic air conservative grandee indeed question lips observers westminster much promoted cabinet took long make mr aitken ideal curriculum vitae great nephew lord beaverbrook son tory mp graduate eton oxford wealthy merchant banker entering commons 1974 thanet east thanet south spent 18 years back benches becoming junior defence minister 1992 explanations tardy progress varied lunch menu elegant lord north street home residence brendan bracken wartime intimate churchill put campaign 1960s de criminalisation offence possession cannabis compared minor motoring offence others ascribe background journalism culminated sensational report british arms supplies nigeria war biafran secession report led appearance old bailey 1970 charged breaching official secrets act acquitted since role model aspiring investigative journalists campaigner less secrecy government explanation lady thatcher prime minister 1979 1990 simply like much took little trouble disguise view lady thatcher prime minister politically mr aitken thoughtful free market rightwinger promotion cabinet part reward loyalty mr major tortuous parliamentary passage maastricht bill unlike euro sceptic ministers refrained giving arms length support rebels
FT943-13071	ft 21 jul 94 major reshuffle mawhinney smoothes way transport position david owen smoother operators mr john major reshaped cabinet dr brian mawhinney new transport secretary two years number two health dark browed ulsterman consistently polished public performances helped earn reputation competence unflappability traditionally difficult department conservatives managed dodge banana skins lately stalled old boss mrs virginia bottomley meteoric rise fact velvet smooth public facade masks tough streak stand dr mawhinney good stead new role always endeared civil servants pleased certainly know said one mp number people northern ireland office look upon possible return dread according one whitehall insider speculating former northern ireland minister might one day go back province secretary state even detractors acknowledge performed capably effectively six year stint northern ireland office phrase spell ulster office frequently remembered came december 1991 latest christmas message ira said surveying scene devastation around craigavon police station left 2 000lb bomb sign skilfully navigated treacherous shoals health beat tobacco advertising dentists fees future london hospitals time may best remembered christmas related gesture october 1992 moved prevent doctors prescribing christmas pudding national health service matter tasty amazed gps prescribed even chocolate digestive biscuits patients said radiation biologist training dr mawhinney peterborough east anglia labour 1979 puts vintage mr major little known former banker practical largely non ideological approach politics dr mawhinney 54 remains every inch major loyalist
FT943-13072	ft 21 jul 94 major reshuffle good butcher wield axe ivor owen philip stephens unexpected promotions reluctant resignations occasional outburst prefer acknowledge sack feature ministerial reshuffles years clear evidence prime ministerial anguish retain rival cabinet fear would even dangerous back benches david lloyd george dictum successful prime minister good butcher seem made easier successors wield axe harold macmillan relish dispensing senior colleagues spite notoriety gained 1962 night long knives got rid third cabinet loss orpington seemingly impregnable tory stronghold fell liberals election caused supposedly unflappable prime minister panic macmillan join laughter one tory backbencher ironically congratulated keeping head losing 1966 mr harold wilson lord wilson let known system promotion relegation similar football league would regular use keep ministers toes event found difficult apply football doctrine anger colleagues frustrated proposals curbing power trade unions resulted one sacking victim mr richard lord marsh recalled lord wilson needed best part hour explain carrying organisation prize disastrous reshuffle recent times must go mrs margaret thatcher mid term reconstruction 1989 exactly point last parliament mr major latest changes decision force sir geoffrey howe foreign office developed unseemly row status deputy prime minister leader commons mrs thatcher managed also offend mr douglas hurd home secretary offering sir geoffrey home office without bothering mention mr hurd mr nigel lawson chancellor compensating sir geoffrey mr lawson country house celebrating 10th year office mrs thatcher audacity dub reshuffled cabinet right team britain future within months mr lawson quit followed steady stream members team year later captain also obliged depart
FT943-13073	ft 21 jul 94 major reshuffle sweeping shake hits junior ranks kevin brown political heavyweights emerged downing street turn nearly men 54 tory mps peers lost posts outside cabinet mid morning started arriving see prime minister clear reshuffle would much sweeping among junior ranks cabinet departmental terms biggest changes took place treasury three four non cabinet ministers replaced defence two three junior ministers changed overall rightwingers prospered although mr major also promoted highly regarded leftwingers expected room lord archer tipped middle ranking job news leaked recently official inquiry alleged share dealing irregularities five ministers state leave government sir wyn roberts welsh office mr tim sainsbury industry minister sir john cope paymaster general mr nicholas scott disability minister mr peter lloyd prisons minister first three understood asked step prime minister thought sacked mr lloyd long serving home office minister mr scott faced sustained opposition lobby disabled big winners mr david davis rightwing parliamentary secretary citizen charter moves rank replace mr david heathcote amory foreign office minister state responsible european union mr nicholas soames rightwing agriculture parliamentary secretary food minister replaces mr jeremy hanley minister state defence miss ann widdecombe rightwing employment secretary becomes minister state department mr gerald malone rightwing backbencher former whip enters government minister state level replacing mr brian mawhinney health minister mr william hague junior social security minister becomes minister state department lord mackay ardbrecknish promoted lords whips office become additional social security minister state mr john watts chairman backbench treasury select committee enters government transport minister state taking mr roger freeman public transport minister mr anthony nelson economic secretary treasury keeps job promoted one rung ladder minister state mr eric forth rightwing schools minister replaces baroness blatch education minister state several ministers move sideways mr forsyth replaces mr lloyd home office sir george young leftwing housing minister replaces mr stephen dorrell financial secretary treasury mr heathcoat amory replaces sir john cope paymaster general mr roger freeman moves defence replace mr jonathan aitken procurement minister viscount ullswater former chief whip lords becomes minister state environment replacing sir george young baroness blatch moves home office minister state replacing earl ferrers moves department trade industry lowest ministerial level three parliamentary secretaries leave government mr mark lennox boyd leaves foreign office knighthood mr patrick mcloughlin dti mr robert key transport eight new secretaries mrs angela browning agriculture mr james paice mr phillip oppenheim employment mr robert jones sir paul beresford environment mr roger evans social security mr ian taylor dti mr roderick richards welsh office mr richards replaces sir wyn jones formerly minister state signalling downgrading welsh office several junior ministers move one department another lord henley social security defence mr antony baldry environment foreign office mr nicholas baker whips office home office viscount astor lords whips office national heritage mr robert g hughes whips office citizen charter department mr james arbuthnot whips office social security mr charles wardle home office dti viscount goschen lords whips office transport four government whips leave office mr irvine patnick knighthood lords strathmore st davids annaly lord strathclyde moves secretary environment department become lords chief whip place viscount ullswater becomes leader lords earl arran moves northern ireland office secretary become lords deputy chief whip mr andrew mitchell mr derek conway promoted whip assistant whip commons four new assistant whips appointed commons mr simon burns mr david willetts mr michael bates dr liam fox two assistant whips join government lords lord lucas crudwell baroness miller hendon
FT943-13074	ft 21 jul 94 major reshuffle senior party job goes author mr michael dobbs author television series novel house cards appointed joint deputy party chairman dubbed second jeffrey archer friends recently said sought booker prize entertain writing party managers hope bring sense excitement new job former chief staff lord tebbit party chairman also experience workings central office mr john maples former financial secretary treasury new holder post mr maples tipped promotion cabinet lost lewisham west seat last general election currently chairman government lobbying arm saatchi saatchi dame angela rumbold remains third deputy chairman mr graham bright dismissed mr major parliamentary private secretary favour mr john ward knighted appointed vice chairman
FT943-13075	ft 21 jul 94 major reshuffle dorrell joins rival portillo cabinet philip stephens mr stephen dorrell elevation cabinet least surprising aspect mr john major ministerial shake promotion financial secretary treasury post national heritage secretary confirms place ranks potential future leaders tory party mr major careful annoy fractious right wing party promoting mr dorrell quickly might hoped post employment transport education secretary rather less exalted role running arts national lottery 42 year old mp worcester everything rightwing colleagues love hate unashamedly pro european liberal social policy economic policy pragmatist rather ideologue substantial personal interest future family run clothing company cares manufacturing industry also one ever smaller band senior conservatives string together enough sentences present case party least faction still coherent prospectus governing britain centre left tory party makes ideal rival mr michael portillo equally youthful torch bearer thatcherites neither could expect lead party mr major stumble next general election labour choice today 41 year old mr tony blair leader reinforce claim vacancy mr dorrell quite wet used former aide mr peter walker lord walker rebellious thorn side mrs margaret thatcher first administration dried since days regularly defied government back benches like everyone nowadays tory party labour party believes market economy strong advocate privatisation injection private finance public sector infrastructure projects also thinks politicians treat market economics means end rather end remains liberal social policy particularly debates issues immigration subject number rebellions earlier years rivalry mr portillo frequently resembled private war conducted little reference rest government mr dorrell still step two behind mr portillo far catch
FT943-13076	ft 21 jul 94 major reshuffle pm eschews glitz maintain balance philip stephens political editor reshuffles like budgets clever look day chance unravel novelty wears perhaps mr john major applauded eschewing anything might termed glitz midterm shake include one significant gamble elevation untested mr jeremy hanley party chairmanship mr major tough enough sack mr john patten education department let go three cabinet ministers took also longstanding advice friends replaced mr graham bright parliamentary private secretary non descript safe mr john ward overall play safe reshuffle rather dramatic restructuring team face labour party second half present parliament left clear impression mr major given room another albeit smaller shake general election due mid 1997 mr malcolm rifkind stays defence looks like foreign secretary waiting extensive series dismissals promotions level minister state designed also prepare number coming ministers eventual promotion cabinet one level prime minister hands tied mr kenneth clarke never likely move treasury mr douglas hurd pillar stability cabinet needed foreign office least another year prepare ground european union intergovernmental conference moving mr michael howard home office mr michael heseltine department trade industry would created many waves even within constraints mr major preferred careful calculation political showmanship various moves designed preserve careful political balance overall tory mps detected slight shift right anything like enough persuade recent rightwards shift rhetoric signalled mr major truly become one us thus mr michael portillo promotion employment right assured standard bearer would retain influence economic policy mr portillo work closely mr peter lilley thatcherite ally social security introduce tough new jobseekers allowance unemployed ideally placed also indulge distaste brussels opposing social legislation hand employment junior economic posts centre left told mr portillo reined necessary mr clarke mr heseltine mr jonathan aitken move chief secretary slot bore hallmark meanwhile mr stephen dorrell darling one nation left much deserved elevation cabinet new position sufficiently uncontroversial enrage right moves wider political objective mrs gillian shephard promotion education designed restore common sense government approach six years upheaval promise consolidation bridge building teachers local authorities mrs shephard would claim great innovator experience teacher education officer left far touch concerns parents predecessor elsewhere mr major rewarded competence mr william waldegrave move agriculture widely regarded good decision choice sir george young financial secretary treasury post generally seen waiting room cabinet mr brian mawhinney promotion transport appropriate hard work loyalty mr hanley appointment main puzzle one respect reflects influence mr chris patten governor hong kong party chairman last election mr hanley protege new chairman energetic enthusiastic presentational skills cheerful disposition matched hard experience new top heavy structure top central office bears mark indecision carries within seeds future confusion conflict mr hanley backed mr david hunt whose sideways move take charge public services citizen charter seems mr hunt take chairmanship number cabinet committees act ministerial troubleshooter mr major behalf expected give new political edge policy making reconnecting whitehall central office message 10 downing street last night reshuffle must seen package taken together changes might flashy would stand test time everyone westminster quite sure
FT943-13077	ft 21 jul 94 major reshuffle cheerful cove picked party cheerleader roland rudd mr jeremy hanley appointment conservative party chairman biggest surprise reshuffle ministers mentioned potential candidates post position mr hanley considered outsider member party wet wing whose promotion blocked lady thatcher 1980s difficult see protege liberal inclined mr chris patten former party chairman mr hanley served parliamentary private secretary obvious contender unify party moving steadily right tory euro sceptics heard muttering criticism appointment westminster one leading sceptic said mr hanley would well fully acknowledge party sceptical view european union although member anti federalist european movement new chairman best remembered many sceptics secretary party group europe took unambiguous pro european stance mr hanley appointed ideological reasons political arm prime minister expected voice opinions string election defeats tory grassroots demoralised dispirited mr hanley widely acclaimed skills good communicator raconteur seen essential tools job also party managers support performance minister armed forces chaired important reviews defence cost study could easily gone wrong said one senior backbencher make billions savings leading loss thousands jobs potential mistakes huge jeremy hanley avoided pitfalls sir jerry wiggin conservative mp western super mare defence expert watched mr hanley perform close quarters believes ability make friends get people crucial forming good relationships party officials across country never mind views europe said sir rhodes boyson tory mp brent north excellent party cheerleader mr hanley 48 described another mp cheerful cove friends say family acting skills enable bring bit razzmatazz job mr hanley father actor jimmy hanley mother actress dinah sheridan new chairman without critics seen something rebel voting government abolition greater london council arguing increase water charges detractors accuse crawlingly loyalist expressing fears privatised thames water would sell valuable acreage around barn elms reservoir loyally voted bill july 1989 northern ireland minister 1990 criticised participants round table talks province political future poor chairman found hard deal competitive agenda said one participant perhaps mr hanley greatest political achievement winning marginal richmond barnes seat 74 votes 1983 holding sustained attack liberal democrats majority 1 766 remains vulnerable mps yesterday voicing concern might suffer fate mr chris patten lost bath constituency last election however mr hanley advantage defending london seat even opponents concede popular mp hanley gets handful page 21
FT943-13078	ft 21 jul 94 major reshuffle cranborne treads king maker path ivor owen parliamentary correspondent appointment new leader house lords viscount cranborne takes another step along political path traversed grandfather fifth marquess salisbury conservative party king maker 1950s lord cranborne rapid advance ranks junior ministers seat cabinet reflects impressive performance government chief defence spokesman lords since 1992 entry lords accelerated like grandfather strengthen politically fragile government front bench lord cranborne 47 undistinguished spell commons 1979 1987 conservative mp dorset south constituency grandfather represented 1930s lord cranborne takes post leader lords ministerial title lord privy seal time flaws bills heart government programme particularly law order ruthlessly exposed main task satisfy independent minded tory back benchers former law lords well informed peers play active role cross benches repetition recent flood ill digested legislation marquess salisbury played king maker role 1957 interrogation cabinet virtually decided harold macmillan rather r butler succeed sir anthony eden prime minister
FT943-13079	ft 21 jul 94 world trade news siemens russia andrew baxter kwu siemens power engineering business formed joint venture companies russian ministry nuclear energy engineer market control instrumentation systems nuclear power plants writes andrew baxter london company ao nuclearcontrol aim improve safety reliability russian nuclear plants use modern control instrumentation equipment
FT943-13080	ft 21 jul 94 world trade news jib advises oresund christopher brown humes jardine construction services london based division international insurance broker jib group appointed insurance broker risk management adviser dollars 2 5bn pounds 1 6bn project build bridge tunnel link across oresund one europe biggest construction projects writes christopher brown humes stockholm 17km road rail link malmo sweden copenhagen denmark given final go ahead last month group responsible placing construction third party liability risks leading international insurers building work begins next year
FT943-13081	ft 21 jul 94 world trade news egypt gives approval privately run oil refinery reuter egyptian government approved private sector plan build oil refinery petrochemical plant near suez reuter reports cairo group egyptian kuwaiti investors operating sahara company petroleum products plan spend dollars 1 2bn pounds 769m refinery would probably use saudi kuwaiti crude refine products export oil minister hamdi el banbi said yesterday plans build separate private sector refinery size mediterranean coast west alexandria advanced suez one
FT943-13082	ft 21 jul 94 world trade news row mars birth caribbean trade bloc canute james ministers officials caribbean community caricom countries spent week solving dispute threatened overshadow next week formal establishment new association caribbean states trade bloc diplomatic shuttle needed persuade president rafael caldera venezuela attend sunday signing ceremony venezuela considered recalling diplomats caricom hurried visit caracas caricom officials resolved problem venezuela displeasure arises letter sent caricom leaders former venezuelan president carlos andres perez prison awaiting trial corruption charges two terms office mr perez promoted closer ties caricom letter expressed profound appreciation contribution development democracy economic advancement hemisphere mr caldera administration interpreted letter interference country domestic affairs caricom quickly sent fence mending mission secure participation one important members new trade group venezuela mollified attention start new economic group 25 countries 15 dependent territories offered associate membership 13 caricom members english speaking countries including belize central america guyana south america joined acs group three colombia mexico venezuela countries central america cuba dominican republic haiti surinam haiti seat offered government exile signing convention creating acs launch new opportunities pursuit collective initiatives 40 states countries territories comprising 200m people united waters caribbean caricom secretariat said aims new group include expansion trade among members increase level functional co operation several sectors including energy seabed mining agricultural industrial development transport communication acs take common approach international trade negotiations european union members nafta involved negotiations preferential arrangements trade goods pending outcome uruguay round negotiations services well according caricom row caricom venezuela early hurdle acs clear involvement cuba may prove less easy resolve cuba sees new trade group possible opportunity escaping economic morass mr roberto robaina cuba foreign minister says country seeking regional co operation tourism expand market range goods services us concern cuba inclusion already meant loss associate members puerto rico us virgin islands us territories join acs
